8 2 0 0 0 2 8 7 2 9 2 2 9 11 4 9 1 1 1 1 2 9 7 8 15 9 3 1 1 1 1 3 1 3 2 3 1 2 1 1 1 1 6 9 9 1 9 9 6 5 1 9 9 9 10 10 9 10 10 9 9 9 10 10 10 1 9 1 9 1 1 1 1 1 9 1 9 1 2 2 11 2 8 1 2 11 5 8 2 11 1 2 1 3500
1 3 0 6 0 1 8 7 5 10 1 10 9 1 4 9 5 4 4 4 9 9 1 3 3 3 5 1 1 1 . 3 1 . . . 10 2 1 7 2 4 2 1 9 1 . 9 . 6 1 9 4 9 3 10 9 . 10 . 9 9 10 9 10 2 9 1 9 4 2 1 2 1 9 3 4 . 2 2 11 3 2 . . . . . 2 12 3 . 2 100000
2 6 2 0 0 3 2 1 1 9 2 11 1 10 3 9 1 1 5 5 9 9 1 3 1 1 5 1 1 2 1 2 1 1 5 . 1 . 1 1 1 3 3 9 9 6 9 1 3 2 1 1 9 9 10 10 9 10 9 9 9 9 9 10 10 1 9 1 9 1 1 7 5 1 9 1 9 1 2 2 11 2 5 5 2 4 7 4 . . 5 . 1 152
2 2 6 0 0 2 8 8 2 9 1 1 9 11 6 1 1 1 6 6 9 9 1 3 3 3 1 1 1 7 . 3 1 1 5 6 1 3 1 1 1 2 3 9 6 6 9 1 1 6 1 1 9 9 10 9 9 10 9 9 9 9 9 10 10 4 9 1 9 4 2 2 4 3 4 3 4 4 5 1 3 8 3 . . . . . 2 25 4 . 1 .
6 3 1 0 0 4 8 2 2 9 1 8 9 11 6 1 3 3 1 1 9 9 8 7 15 9 6 1 1 7 3 2 1 2 5 . 1 . 1 1 1 1 1 9 9 2 9 9 2 6 1 2 9 9 10 10 9 10 10 9 9 9 9 10 10 2 9 1 9 1 1 1 1 . . 1 9 3 2 2 11 4 8 2 1 . 4 8 2 11 1 . 1 300
3 2 5 0 0 4 8 6 6 12 2 12 3 9 4 9 1 1 1 1 2 9 7 8 15 9 4 1 1 3 4 2 1 4 5 . 1 1 1 1 1 2 6 9 9 8 9 1 1 5 1 2 9 9 10 10 9 10 9 9 9 9 9 10 10 2 9 1 9 2 2 1 1 1 9 1 9 2 3 1 11 9 9 2 2 11 4 7 3 11 5 . 2 1200
2 8 0 0 0 1 8 5 3 12 2 12 3 9 4 9 1 1 1 1 1 9 7 8 15 9 4 1 1 1 . 2 2 4 5 3 1 . 1 4 1 3 6 9 9 6 6 9 6 6 1 9 1 9 10 10 9 9 10 9 9 9 10 9 10 1 9 1 9 1 1 5 5 1 9 1 9 1 2 2 11 4 5 . . . . . 4 59 1 . 2 2000
1 1 3 0 5 6 8 8 1 5 3 5 9 11 2 9 1 1 4 4 9 9 7 8 15 9 5 3 6 3 5 3 2 2 5 6 1 1 1 1 1 6 3 9 9 6 6 1 1 6 1 1 9 6 10 10 9 9 9 9 9 9 9 10 9 2 9 1 9 1 1 2 4 . . . . 6 5 2 1 1 4 . . . . . 4 24 4 . 2 .
6 4 0 0 0 6 8 7 3 11 2 11 1 10 3 9 1 1 1 1 1 9 7 8 15 9 4 2 6 1 . 3 1 1 5 6 1 1 1 4 1 1 6 9 9 6 6 9 6 6 1 9 1 4 10 10 9 9 10 9 9 9 10 9 9 1 9 1 9 1 1 7 5 1 9 1 9 2 2 2 11 2 8 . . . . . 2 59 1 . 2 1000
1 1 1 1 6 5 1 5 5 8 1 8 9 1 6 1 4 4 1 1 9 9 7 8 15 9 6 3 4 6 3 3 1 1 . . 1 1 1 3 1 6 1 1 9 . 6 9 1 . 1 1 1 5 3 10 . 9 10 9 . 9 9 9 9 1 9 3 9 1 1 9 9 7 4 7 1 6 2 2 11 3 8 5 2 2 . 8 . . 1 2 2 18000
